GenID,Generator Name,Fuel,Bus of Connection,Max Capacity (MW),Variable Cost ($/MWh),No-Load Cost ($/hr),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Start Cost ($),CO2 (kg/h),CO2 (kg/MWh),NOX (kg/MWh),NOX (kg/MWh),SO2 (kg/MWh),SO2 (kg/MWh),Must Commit?,Must Use?,DAUC Generator?
150,CTNG50,Natural gas,bus111,49.96,48.875,1407.672,2.67,2.67,2,2,22.48,5455.15,13952.61016,478.4918877,9.341154262,0.320346264,0.070945475,0.00243301,0,0,0
151,CTNG51,Natural gas,bus085,8.57,30.824,439.83,0.47,0.47,8,8,8.48,935.76,4359.521627,299.5732664,2.918662784,0.200561763,0.022167059,0.001523254,0,0,0
152,CTNG52,Natural gas,bus085,10.71,30.824,549.666,0.47,0.47,8,8,10.6,1169.43,5448.197746,299.5732664,3.64752222,0.200561763,0.0277027,0.001523254,0,0,0
153,CTNG53,Natural gas,bus085,10.71,30.824,549.666,0.47,0.47,8,8,10.6,1169.43,5448.197746,299.5732664,3.64752222,0.200561763,0.0277027,0.001523254,0,0,0
154,CTNG54,Natural gas,bus111,49.9,50.623,1418.688,2.67,2.67,2,2,22.45,5448.6,14061.79892,495.8245321,9.414255208,0.331950322,0.071500672,0.002521142,0,0,0
155,CTNG55,Natural gas,bus091,15,56.353,373.14,2.67,2.67,2,2,4.5,1637.85,3698.501467,552.6187421,2.476115389,0.369973565,0.01880594,0.002809926,0,0,0
156,CTNG56,Natural gas,bus111,46.9,48.694,1316.52,2.67,2.67,2,2,21.1,5121.02,13049.12674,476.7004428,8.736279765,0.319146907,0.066351492,0.002423901,0,0,0
157,CTNG66,Natural gas,bus111,45,49.084,1273.428,2.67,2.67,2,2,20.25,4913.56,12622.00602,480.5637979,8.450326063,0.32173339,0.064179692,0.002443545,0,0,0
158,CTNG67,Natural gas,bus111,45,49.084,1273.428,2.67,2.67,2,2,20.25,4913.56,12622.00602,480.5637979,8.450326063,0.32173339,0.064179692,0.002443545,0,0,0
159,CTNG68,Natural gas,bus111,46.7,49.018,1319.706,1.53,1.53,2,2,21.01,5099.19,13080.70584,479.912412,8.757421705,0.321297293,0.066512064,0.002440233,0,0,0
160,CTNG69,Natural gas,bus111,49.5,42.037,3179.25,2.67,2.67,2,2,22.27,5404.92,31512.19592,410.7188555,21.09714812,0.274972793,0.160231505,0.002088401,0,0,0
161,CTNG70,Natural gas,bus111,44.02,48.858,1239.84,2.67,2.67,2,2,19.81,4806.56,12289.08736,478.3206112,8.227439844,0.320231596,0.062486885,0.002432139,0,0,0
162,CTNG71,Natural gas,bus111,44.02,48.858,1239.84,2.67,2.67,2,2,19.81,4806.56,12289.08736,478.3206112,8.227439844,0.320231596,0.062486885,0.002432139,0,0,0
163,CTNG72,Natural gas,bus112,50,42.061,3211.38,5.33,5.33,2,2,22.5,5459.52,31830.66313,410.9516844,21.31035921,0.27512867,0.161850829,0.002089585,0,0,0
164,CTNG73,Natural gas,bus112,50,42.061,3211.38,5.33,5.33,2,2,22.5,5459.52,31830.66313,410.9516844,21.31035921,0.27512867,0.161850829,0.002089585,0,0,0
165,CTNG74,Natural gas,bus042,42,39.304,921.618,1.23,1.23,4,8,16.8,4585.99,9134.923955,383.6266632,6.115754173,0.2568348,0.046448766,0.001950644,0,0,0
166,CTNG75,Natural gas,bus049,50.4,57.226,812.43,1.33,1.33,1,1,21.91,5503.19,8052.670704,561.2708804,5.391194793,0.375766098,0.040945783,0.00285392,0,0,0
167,CTOil01,Oil,bus026,74.5,211.355,7602.63,1.83,1.83,2,2,22.35,2369.32,20214.74903,556.8969881,28.90167205,0.796213403,0.950799325,0.026193611,0,0,0
168,CTOil02,Oil,bus010,74.5,211.355,7602.63,1.83,1.83,2,2,22.35,2369.32,20214.74903,556.8969881,28.90167205,0.796213403,0.950799325,0.026193611,0,0,0
169,CTOil03,Oil,bus010,74.5,211.355,7602.63,1.83,1.83,2,2,22.35,2369.32,20214.74903,556.8969881,28.90167205,0.796213403,0.950799325,0.026193611,0,0,0
170,CTOil04,Oil,bus054,71.2,220.558,6945.54,1.33,1.33,2,2,21.36,2264.37,18467.60239,581.365975,26.40372072,0.831197495,0.868622403,0.027344508,0,0,0
171,CTOil05,Oil,bus054,71.2,220.558,6945.54,1.33,1.33,2,2,21.36,2264.37,18467.60239,581.365975,26.40372072,0.831197495,0.868622403,0.027344508,0,0,0
172,Geo01,Geothermal,bus055,22,2.92,0,0.07,0.07,6,6,11,0,0,0,3.622262923,0.329296629,0.118735015,0.010794092,0,0,1
173,Hydro01,Hydro,bus056,75,0,0,0.83,0.83,1,1,0,0,0,0,0,0,0,0,0,0,1
174,Hydro02,Hydro,bus056,75,0,0,0.83,0.83,1,1,0,0,0,0,0,0,0,0,0,0,1
175,Hydro03,Hydro,bus066,77,0,0,0.86,0.86,1,1,0,0,0,0,0,0,0,0,0,0,1
176,Hydro04,Hydro,bus076,77,0,0,0.86,0.86,1,1,0,0,0,0,0,0,0,0,0,0,1
177,Hydro05,Hydro,bus049,82,0,0,0.91,0.91,1,1,0,0,0,0,0,0,0,0,0,0,1
178,Hydro06,Hydro,bus059,97.98,0,0,1.58,1.58,1,1,0,0,0,0,0,0,0,0,0,0,1
179,Hydro07,Hydro,bus059,97.98,0,0,1.58,1.58,1,1,0,0,0,0,0,0,0,0,0,0,1
180,Hydro08,Hydro,bus061,97.98,0,0,1.58,1.58,1,1,0,0,0,0,0,0,0,0,0,0,1
181,Hydro09,Hydro,bus061,97.98,0,0,1.58,1.58,1,1,0,0,0,0,0,0,0,0,0,0,1
182,Hydro10,Hydro,bus062,97.98,0,0,1.58,1.58,1,1,0,0,0,0,0,0,0,0,0,0,1
183,Hydro11,Hydro,bus076,60.8,0,0,0.78,0.78,1,1,0,0,0,0,0,0,0,0,0,0,1
184,Hydro12,Hydro,bus077,60.8,0,0,0.78,0.78,1,1,0,0,0,0,0,0,0,0,0,0,1
185,Hydro13,Hydro,bus059,46.7,0,0,0.52,0.52,1,1,0,0,0,0,0,0,0,0,0,0,1
186,Hydro14,Hydro,bus099,110,0,0,1.22,1.22,1,1,0,0,0,0,0,0,0,0,0,0,1
187,Hydro15,Hydro,bus080,140,0,0,1.56,1.56,1,1,0,0,0,0,0,0,0,0,0,0,1
188,Hydro16,Hydro,bus032,0.8,0,0,0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0,1
189,Hydro17,Hydro,bus112,1.35,0,0,0.02,0.02,1,1,0,0,0,0,0,0,0,0,0,0,1
190,Hydro18,Hydro,bus112,4.65,0,0,0.05,0.05,1,1,0,0,0,0,0,0,0,0,0,0,1
191,Hydro19,Hydro,bus116,40.71,0,0,0.61,0.61,1,1,0,0,0,0,0,0,0,0,0,0,1
192,Hydro20,Hydro,bus077,41.55,0,0,0.8,0.8,1,1,0,0,0,0,0,0,0,0,0,0,1
193,Hydro21,Hydro,bus099,41.55,0,0,0.8,0.8,1,1,0,0,0,0,0,0,0,0,0,0,1
194,Hydro22,Hydro,bus099,41.55,0,0,0.8,0.8,1,1,0,0,0,0,0,0,0,0,0,0,1
195,Hydro23,Hydro,bus069,74.05,0,0,0.95,0.95,1,1,0,0,0,0,0,0,0,0,0,0,1
196,Hydro24,Hydro,bus069,74.05,0,0,0.95,0.95,1,1,0,0,0,0,0,0,0,0,0,0,1
197,Hydro25,Hydro,bus061,27.07,0,0,0.43,0.43,1,1,0,0,0,0,0,0,0,0,0,0,1
198,Hydro26,Hydro,bus116,27.07,0,0,0.43,0.43,1,1,0,0,0,0,0,0,0,0,0,0,1
199,Hydro27,Hydro,bus080,27.07,0,0,0.43,0.43,1,1,0,0,0,0,0,0,0,0,0,0,1
200,Hydro28,Hydro,bus080,80.67,0,0,1.67,1.67,1,1,0,0,0,0,0,0,0,0,0,0,1
201,Hydro29,Hydro,bus080,80.67,0,0,1.67,1.67,1,1,0,0,0,0,0,0,0,0,0,0,1
202,Hydro30,Hydro,bus034,0.1,0,0,0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1
203,Hydro31,Hydro,bus034,0.4,0,0,0.4,0.4,1,1,0,0,0,0,0,0,0,0,0,0,1
204,Hydro32,Hydro,bus034,0.48,0,0,0.01,0.01,1,1,0,0,0,0,0,0,0,0,0,0,1
205,Hydro33,Hydro,bus069,87.71,0,0,1.06,1.06,1,1,0,0,0,0,0,0,0,0,0,0,1
206,Hydro34,Hydro,bus069,87.71,0,0,1.06,1.06,1,1,0,0,0,0,0,0,0,0,0,0,1
207,Hydro35,Hydro,bus034,0.24,0,0,0.24,0.24,1,1,0,0,0,0,0,0,0,0,0,0,1
208,Hydro36,Hydro,bus034,0.49,0,0,0.02,0.02,1,1,0,0,0,0,0,0,0,0,0,0,1
209,Hydro37,Hydro,bus036,2.16,0,0,47.1,47.1,1,1,0,0,0,0,0,0,0,0,0,0,1
210,Hydro38,Hydro,bus034,0.05,0,0,2.46,2.46,1,1,0,0,0,0,0,0,0,0,0,0,1
211,Hydro39,Hydro,bus034,0.05,0,0,2.46,2.46,1,1,0,0,0,0,0,0,0,0,0,0,1
212,Hydro40,Hydro,bus065,6.91,0,0,96.93,96.93,1,1,0,0,0,0,0,0,0,0,0,0,1
213,Hydro41,Hydro,bus046,7.43,0,0,96.26,96.26,1,1,0,0,0,0,0,0,0,0,0,0,1
214,Hydro42,Hydro,bus042,7.43,0,0,96.26,96.26,1,1,0,0,0,0,0,0,0,0,0,0,1
215,Hydro43,Hydro,bus099,7.43,0,0,111.93,111.93,1,1,0,0,0,0,0,0,0,0,0,0,1
216,ICENG01,Natural gas,bus112,3.25,44.64,49.248,4.17,4.17,1,1,0,34.45,488.1379649,421.4536088,0.326804231,0.282159619,0.002482057,0.002142984,0,0,0
217,ICENG02,Natural gas,bus056,8.4,44.694,85.374,1,1,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
218,ICENG03,Natural gas,bus065,8.4,44.694,85.374,1,1,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
219,ICENG04,Natural gas,bus065,8.4,44.694,85.374,1,1,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
220,ICENG05,Natural gas,bus077,8.4,44.694,85.374,1,1,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
221,ICENG06,Natural gas,bus077,8.4,44.694,85.374,1,1,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
222,ICENG07,Natural gas,bus034,8.4,44.694,85.374,1,1,3,5,1.68,44.52,846.2128536,424.0655751,0.566532334,0.283908309,0.004302777,0.002156266,0,0,0
223,STCoal01,Coal,bus018,20,21.299,195.84,3.33,3.33,24,48,19.8,3116.69,10042.89795,938.8844986,18.87240655,1.764332372,16.30058571,1.523899508,0,0,1
224,STNG01,Natural gas,bus070,320,49.655,1977.156,5.42,5.42,8,12,25.6,25442.4,19597.24062,482.4628258,13.12018652,0.323004773,0.099646986,0.002453201,0,0,1
225,STNG02,Natural gas,bus072,325,48.516,3096.63,5.33,5.33,8,12,26,25839.94,30693.28026,471.1698182,20.54889102,0.3154442,0.156067527,0.002395779,0,0,1
226,STNG03,Natural gas,bus025,712,47.412,6499.872,11.83,11.83,8,12,56.96,56609.34,64425.64754,460.2284627,43.13242505,0.308119056,0.327588038,0.002340145,0,0,1
227,STNG04,Natural gas,bus019,62.6,24.103,1877.526,0.17,0.17,8,12,61.97,4977.17,18609.72467,229.1946907,12.45905296,0.153443903,0.094625719,0.001165397,0,0,1
228,STNG05,Natural gas,bus024,62.6,24.103,1877.526,0.17,0.17,8,12,61.97,4977.17,18609.72467,229.1946907,12.45905296,0.153443903,0.094625719,0.001165397,0,0,1
229,STNG06,Natural gas,bus092,110.25,53.935,1164.942,1.72,1.72,8,12,8.82,8765.7,11546.71087,524.8783753,7.730425076,0.351401624,0.058712089,0.002668873,0,0,1
230,STNG07,Natural gas,bus092,110.25,54.616,947.214,1.82,1.82,8,12,8.82,8765.7,9388.627239,531.6336267,6.285606372,0.355924208,0.047738783,0.002703222,0,0,1
231,STNG08,Natural gas,bus092,306,52.826,2607.552,4.98,4.98,8,12,24.48,24329.29,25845.62067,513.8909892,17.30342401,0.344045662,0.13141841,0.002613005,0,0,1
232,STNG09,Natural gas,bus092,345.6,50.646,3198.204,5.48,5.48,8,12,27.65,27477.79,31700.06481,492.28125,21.22292475,0.329578125,0.16118677,0.002503125,0,0,1
233,STNG10,Natural gas,bus105,106.25,51.566,1374.192,1.77,1.77,8,12,8.5,8447.67,13620.76199,501.3995815,9.118984719,0.335682771,0.069258112,0.002549489,0,0,1
234,STOther01,Other,bus024,4.6,0.98,0,0.05,0.05,6,6,2.07,365.73,0,0,0,0,0,0,0,0,1
235,STOther02,Other,bus024,30.4,1.91,0,0.62,0.62,1,1,30.1,966.81,0,0,0,0,0,0,0,0,1
236,Solar-bus015,Solar,bus015,144.04,0,0,144.04,144.04,0,0,0,0,0,0,0,0,0,0,1,1,1
237,Solar-bus018,Solar,bus018,185.52,0,0,185.52,185.52,0,0,0,0,0,0,0,0,0,0,1,1,1
238,Solar-bus019,Solar,bus019,124.8,0,0,124.8,124.8,0,0,0,0,0,0,0,0,0,0,1,1,1
239,Solar-bus032,Solar,bus032,751.61,0,0,751.61,751.61,0,0,0,0,0,0,0,0,0,0,1,1,1
240,Solar-bus054,Solar,bus054,264.47,0,0,264.47,264.47,0,0,0,0,0,0,0,0,0,0,1,1,1
241,Solar-bus055,Solar,bus055,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,1,1,1
242,Solar-bus069,Solar,bus069,124.9,0,0,124.9,124.9,0,0,0,0,0,0,0,0,0,0,1,1,1
243,Solar-bus076,Solar,bus076,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,1,1,1
244,Solar-bus092,Solar,bus092,519.26,0,0,519.26,519.26,0,0,0,0,0,0,0,0,0,0,1,1,1
245,Solar-bus100,Solar,bus100,104.99,0,0,104.99,104.99,0,0,0,0,0,0,0,0,0,0,1,1,1
246,Solar-bus104,Solar,bus104,467,0,0,467,467,0,0,0,0,0,0,0,0,0,0,1,1,1
247,Solar-bus105,Solar,bus105,274.48,0,0,274.48,274.48,0,0,0,0,0,0,0,0,0,0,1,1,1
248,Solar-bus110,Solar,bus110,253.9,0,0,253.9,253.9,0,0,0,0,0,0,0,0,0,0,1,1,1
249,Solar-bus112,Solar,bus112,175.8,0,0,175.8,175.8,0,0,0,0,0,0,0,0,0,0,1,1,1
250,Wind01,Wind,bus024,11.5,0,0,11.5,11.5,0,0,0,0,0,0,0,0,0,0,1,1,1
251,Wind02,Wind,bus024,38,0,0,38,38,0,0,0,0,0,0,0,0,0,0,1,1,1
252,Wind03,Wind,bus024,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,1,1,1
253,Wind04,Wind,bus024,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,1,1,1
254,Wind05,Wind,bus024,1.1,0,0,1.1,1.1,0,0,0,0,0,0,0,0,0,0,1,1,1
255,Wind06,Wind,bus027,24.1,0,0,24.1,24.1,0,0,0,0,0,0,0,0,0,0,1,1,1
256,Wind07,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0,0,0,0,0,1,1,1
257,Wind08,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0,0,0,0,0,1,1,1
258,Wind09,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0,0,0,0,0,1,1,1
259,Wind10,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0,0,0,0,0,1,1,1
260,Wind11,Wind,bus027,16.6,0,0,16.6,16.6,0,0,0,0,0,0,0,0,0,0,1,1,1
261,Wind12,Wind,bus031,97.5,0,0,97.5,97.5,0,0,0,0,0,0,0,0,0,0,1,1,1
262,Wind13,Wind,bus031,58.7,0,0,58.7,58.7,0,0,0,0,0,0,0,0,0,0,1,1,1
263,Wind14,Wind,bus100,400,0,0,400,400,0,0,0,0,0,0,0,0,0,0,1,1,1
264,Wind15,Wind,bus082,50,0,0,50,50,0,0,0,0,0,0,0,0,0,0,1,1,1
265,Wind16,Wind,bus082,149.5,0,0,149.5,149.5,0,0,0,0,0,0,0,0,0,0,1,1,1
266,Wind17,Wind,bus082,149.5,0,0,149.5,149.5,0,0,0,0,0,0,0,0,0,0,1,1,1
