# 1.Supply reference no.| 2.Node| 3.Product| 4.Bid| 5.Capacity| 6. Period | 7. Supplier ID| 8. Contract ID
S02054|NMAD|MW|175.863|100|Z158|S1|H13
S02055|NMAD|MW|66.063|1900|Z159|S1|H01
S02056|NMAD|MW|73.2|100|Z159|S1|H02
S02057|NMAD|MW|80.703|100|Z159|S1|H03
S02058|NMAD|MW|88.572|100|Z159|S1|H04
S02059|NMAD|MW|96.807|100|Z159|S1|H05
S02060|NMAD|MW|105.408|100|Z159|S1|H06
S02061|NMAD|MW|114.375|100|Z159|S1|H07
S02062|NMAD|MW|123.70800000000001|100|Z159|S1|H08
S02063|NMAD|MW|133.407|100|Z159|S1|H09
S02064|NMAD|MW|143.472|100|Z159|S1|H10
S02065|NMAD|MW|153.90300000000002|100|Z159|S1|H11
S02066|NMAD|MW|164.70000000000002|100|Z159|S1|H12
S02067|NMAD|MW|175.863|100|Z159|S1|H13
S02068|NMAD|MW|66.063|1900|Z160|S1|H01
S02069|NMAD|MW|73.2|100|Z160|S1|H02
S02070|NMAD|MW|80.703|100|Z160|S1|H03
S02071|NMAD|MW|88.572|100|Z160|S1|H04
S02072|NMAD|MW|96.807|100|Z160|S1|H05
S02073|NMAD|MW|105.408|100|Z160|S1|H06
S02074|NMAD|MW|114.375|100|Z160|S1|H07
S02075|NMAD|MW|123.70800000000001|100|Z160|S1|H08
S02076|NMAD|MW|133.407|100|Z160|S1|H09
S02077|NMAD|MW|143.472|100|Z160|S1|H10
S02078|NMAD|MW|153.90300000000002|100|Z160|S1|H11
S02079|NMAD|MW|164.70000000000002|100|Z160|S1|H12
S02080|NMAD|MW|175.863|100|Z160|S1|H13
S02081|NMAD|MW|66.063|1900|Z161|S1|H01
S02082|NMAD|MW|73.2|100|Z161|S1|H02
S02083|NMAD|MW|80.703|100|Z161|S1|H03
S02084|NMAD|MW|88.572|100|Z161|S1|H04
S02085|NMAD|MW|96.807|100|Z161|S1|H05
S02086|NMAD|MW|105.408|100|Z161|S1|H06
S02087|NMAD|MW|114.375|100|Z161|S1|H07
S02088|NMAD|MW|123.70800000000001|100|Z161|S1|H08
S02089|NMAD|MW|133.407|100|Z161|S1|H09
S02090|NMAD|MW|143.472|100|Z161|S1|H10
S02091|NMAD|MW|153.90300000000002|100|Z161|S1|H11
S02092|NMAD|MW|164.70000000000002|100|Z161|S1|H12
S02093|NMAD|MW|175.863|100|Z161|S1|H13
S02094|NMAD|MW|66.063|1900|Z162|S1|H01
S02095|NMAD|MW|73.2|100|Z162|S1|H02
S02096|NMAD|MW|80.703|100|Z162|S1|H03
S02097|NMAD|MW|88.572|100|Z162|S1|H04
S02098|NMAD|MW|96.807|100|Z162|S1|H05
S02099|NMAD|MW|105.408|100|Z162|S1|H06
S02100|NMAD|MW|114.375|100|Z162|S1|H07
S02101|NMAD|MW|123.70800000000001|100|Z162|S1|H08
S02102|NMAD|MW|133.407|100|Z162|S1|H09
S02103|NMAD|MW|143.472|100|Z162|S1|H10
S02104|NMAD|MW|153.90300000000002|100|Z162|S1|H11
S02105|NMAD|MW|164.70000000000002|100|Z162|S1|H12
S02106|NMAD|MW|175.863|100|Z162|S1|H13
S02107|NMAD|MW|66.063|1900|Z163|S1|H01
S02108|NMAD|MW|73.2|100|Z163|S1|H02
S02109|NMAD|MW|80.703|100|Z163|S1|H03
S02110|NMAD|MW|88.572|100|Z163|S1|H04
S02111|NMAD|MW|96.807|100|Z163|S1|H05
S02112|NMAD|MW|105.408|100|Z163|S1|H06
S02113|NMAD|MW|114.375|100|Z163|S1|H07
S02114|NMAD|MW|123.70800000000001|100|Z163|S1|H08
S02115|NMAD|MW|133.407|100|Z163|S1|H09
S02116|NMAD|MW|143.472|100|Z163|S1|H10
S02117|NMAD|MW|153.90300000000002|100|Z163|S1|H11
S02118|NMAD|MW|164.70000000000002|100|Z163|S1|H12
S02119|NMAD|MW|175.863|100|Z163|S1|H13
S02120|NMAD|MW|66.063|1900|Z164|S1|H01
S02121|NMAD|MW|73.2|100|Z164|S1|H02
S02122|NMAD|MW|80.703|100|Z164|S1|H03
S02123|NMAD|MW|88.572|100|Z164|S1|H04
S02124|NMAD|MW|96.807|100|Z164|S1|H05
S02125|NMAD|MW|105.408|100|Z164|S1|H06
S02126|NMAD|MW|114.375|100|Z164|S1|H07
S02127|NMAD|MW|123.70800000000001|100|Z164|S1|H08
S02128|NMAD|MW|133.407|100|Z164|S1|H09
S02129|NMAD|MW|143.472|100|Z164|S1|H10
S02130|NMAD|MW|153.90300000000002|100|Z164|S1|H11
S02131|NMAD|MW|164.70000000000002|100|Z164|S1|H12
S02132|NMAD|MW|175.863|100|Z164|S1|H13
S02133|NMAD|MW|66.063|1900|Z165|S1|H01
S02134|NMAD|MW|73.2|100|Z165|S1|H02
S02135|NMAD|MW|80.703|100|Z165|S1|H03
S02136|NMAD|MW|88.572|100|Z165|S1|H04
S02137|NMAD|MW|96.807|100|Z165|S1|H05
S02138|NMAD|MW|105.408|100|Z165|S1|H06
S02139|NMAD|MW|114.375|100|Z165|S1|H07
S02140|NMAD|MW|123.70800000000001|100|Z165|S1|H08
S02141|NMAD|MW|133.407|100|Z165|S1|H09
S02142|NMAD|MW|143.472|100|Z165|S1|H10
S02143|NMAD|MW|153.90300000000002|100|Z165|S1|H11
S02144|NMAD|MW|164.70000000000002|100|Z165|S1|H12
S02145|NMAD|MW|175.863|100|Z165|S1|H13
S02146|NMAD|MW|66.063|1900|Z166|S1|H01
S02147|NMAD|MW|73.2|100|Z166|S1|H02
S02148|NMAD|MW|80.703|100|Z166|S1|H03
S02149|NMAD|MW|88.572|100|Z166|S1|H04
S02150|NMAD|MW|96.807|100|Z166|S1|H05
S02151|NMAD|MW|105.408|100|Z166|S1|H06
S02152|NMAD|MW|114.375|100|Z166|S1|H07
S02153|NMAD|MW|123.70800000000001|100|Z166|S1|H08
S02154|NMAD|MW|133.407|100|Z166|S1|H09
S02155|NMAD|MW|143.472|100|Z166|S1|H10
S02156|NMAD|MW|153.90300000000002|100|Z166|S1|H11
S02157|NMAD|MW|164.70000000000002|100|Z166|S1|H12
S02158|NMAD|MW|175.863|100|Z166|S1|H13
S02159|NMAD|MW|66.063|1900|Z167|S1|H01
S02160|NMAD|MW|73.2|100|Z167|S1|H02
S02161|NMAD|MW|80.703|100|Z167|S1|H03
S02162|NMAD|MW|88.572|100|Z167|S1|H04
S02163|NMAD|MW|96.807|100|Z167|S1|H05
S02164|NMAD|MW|105.408|100|Z167|S1|H06
S02165|NMAD|MW|114.375|100|Z167|S1|H07
S02166|NMAD|MW|123.70800000000001|100|Z167|S1|H08
S02167|NMAD|MW|133.407|100|Z167|S1|H09
S02168|NMAD|MW|143.472|100|Z167|S1|H10
S02169|NMAD|MW|153.90300000000002|100|Z167|S1|H11
S02170|NMAD|MW|164.70000000000002|100|Z167|S1|H12
S02171|NMAD|MW|175.863|100|Z167|S1|H13
S02172|NMAD|MW|66.063|1900|Z168|S1|H01
S02173|NMAD|MW|73.2|100|Z168|S1|H02
S02174|NMAD|MW|80.703|100|Z168|S1|H03
S02175|NMAD|MW|88.572|100|Z168|S1|H04
S02176|NMAD|MW|96.807|100|Z168|S1|H05
S02177|NMAD|MW|105.408|100|Z168|S1|H06
S02178|NMAD|MW|114.375|100|Z168|S1|H07
S02179|NMAD|MW|123.70800000000001|100|Z168|S1|H08
S02180|NMAD|MW|133.407|100|Z168|S1|H09
S02181|NMAD|MW|143.472|100|Z168|S1|H10
S02182|NMAD|MW|153.90300000000002|100|Z168|S1|H11
S02183|NMAD|MW|164.70000000000002|100|Z168|S1|H12
S02184|NMAD|MW|175.863|100|Z168|S1|H13
S02185|NMAD|MW|66.77640000000001|2700|Z001|S2|H01
S02186|NMAD|MW|71.8144|100|Z001|S2|H02
S02187|NMAD|MW|77.0356|100|Z001|S2|H03
S02188|NMAD|MW|82.44|100|Z001|S2|H04
S02189|NMAD|MW|88.0276|100|Z001|S2|H05
S02190|NMAD|MW|93.7984|100|Z001|S2|H06
S02191|NMAD|MW|99.75240000000001|100|Z001|S2|H07
S02192|NMAD|MW|105.8896|100|Z001|S2|H08
S02193|NMAD|MW|112.21000000000001|100|Z001|S2|H09
S02194|NMAD|MW|118.7136|100|Z001|S2|H10
S02195|NMAD|MW|125.4004|100|Z001|S2|H11
S02196|NMAD|MW|132.2704|100|Z001|S2|H12
S02197|NMAD|MW|139.3236|100|Z001|S2|H13
S02198|NMAD|MW|146.56|100|Z001|S2|H14
S02199|NMAD|MW|153.9796|100|Z001|S2|H15
S02200|NMAD|MW|161.5824|100|Z001|S2|H16
S02201|NMAD|MW|169.3684|100|Z001|S2|H17
S02202|NMAD|MW|177.3376|100|Z001|S2|H18
S02203|NMAD|MW|66.77640000000001|2700|Z002|S2|H01
S02204|NMAD|MW|71.8144|100|Z002|S2|H02
S02205|NMAD|MW|77.0356|100|Z002|S2|H03
S02206|NMAD|MW|82.44|100|Z002|S2|H04
S02207|NMAD|MW|88.0276|100|Z002|S2|H05
S02208|NMAD|MW|93.7984|100|Z002|S2|H06
S02209|NMAD|MW|99.75240000000001|100|Z002|S2|H07
S02210|NMAD|MW|105.8896|100|Z002|S2|H08
S02211|NMAD|MW|112.21000000000001|100|Z002|S2|H09
S02212|NMAD|MW|118.7136|100|Z002|S2|H10
S02213|NMAD|MW|125.4004|100|Z002|S2|H11
S02214|NMAD|MW|132.2704|100|Z002|S2|H12
S02215|NMAD|MW|139.3236|100|Z002|S2|H13
S02216|NMAD|MW|146.56|100|Z002|S2|H14
S02217|NMAD|MW|153.9796|100|Z002|S2|H15
S02218|NMAD|MW|161.5824|100|Z002|S2|H16
S02219|NMAD|MW|169.3684|100|Z002|S2|H17
S02220|NMAD|MW|177.3376|100|Z002|S2|H18
S02221|NMAD|MW|66.77640000000001|2700|Z003|S2|H01
S02222|NMAD|MW|71.8144|100|Z003|S2|H02
S02223|NMAD|MW|77.0356|100|Z003|S2|H03
S02224|NMAD|MW|82.44|100|Z003|S2|H04
S02225|NMAD|MW|88.0276|100|Z003|S2|H05
S02226|NMAD|MW|93.7984|100|Z003|S2|H06
S02227|NMAD|MW|99.75240000000001|100|Z003|S2|H07
S02228|NMAD|MW|105.8896|100|Z003|S2|H08
S02229|NMAD|MW|112.21000000000001|100|Z003|S2|H09
S02230|NMAD|MW|118.7136|100|Z003|S2|H10
S02231|NMAD|MW|125.4004|100|Z003|S2|H11
S02232|NMAD|MW|132.2704|100|Z003|S2|H12
S02233|NMAD|MW|139.3236|100|Z003|S2|H13
S02234|NMAD|MW|146.56|100|Z003|S2|H14
S02235|NMAD|MW|153.9796|100|Z003|S2|H15
S02236|NMAD|MW|161.5824|100|Z003|S2|H16
S02237|NMAD|MW|169.3684|100|Z003|S2|H17
S02238|NMAD|MW|177.3376|100|Z003|S2|H18
S02239|NMAD|MW|66.77640000000001|2700|Z004|S2|H01
S02240|NMAD|MW|71.8144|100|Z004|S2|H02
S02241|NMAD|MW|77.0356|100|Z004|S2|H03
S02242|NMAD|MW|82.44|100|Z004|S2|H04
S02243|NMAD|MW|88.0276|100|Z004|S2|H05
S02244|NMAD|MW|93.7984|100|Z004|S2|H06
S02245|NMAD|MW|99.75240000000001|100|Z004|S2|H07
S02246|NMAD|MW|105.8896|100|Z004|S2|H08
S02247|NMAD|MW|112.21000000000001|100|Z004|S2|H09
S02248|NMAD|MW|118.7136|100|Z004|S2|H10
S02249|NMAD|MW|125.4004|100|Z004|S2|H11
S02250|NMAD|MW|132.2704|100|Z004|S2|H12
S02251|NMAD|MW|139.3236|100|Z004|S2|H13
S02252|NMAD|MW|146.56|100|Z004|S2|H14
S02253|NMAD|MW|153.9796|100|Z004|S2|H15
S02254|NMAD|MW|161.5824|100|Z004|S2|H16
S02255|NMAD|MW|169.3684|100|Z004|S2|H17
S02256|NMAD|MW|177.3376|100|Z004|S2|H18
S02257|NMAD|MW|66.77640000000001|2700|Z005|S2|H01
S02258|NMAD|MW|71.8144|100|Z005|S2|H02
S02259|NMAD|MW|77.0356|100|Z005|S2|H03
S02260|NMAD|MW|82.44|100|Z005|S2|H04
S02261|NMAD|MW|88.0276|100|Z005|S2|H05
S02262|NMAD|MW|93.7984|100|Z005|S2|H06
S02263|NMAD|MW|99.75240000000001|100|Z005|S2|H07
S02264|NMAD|MW|105.8896|100|Z005|S2|H08
S02265|NMAD|MW|112.21000000000001|100|Z005|S2|H09
S02266|NMAD|MW|118.7136|100|Z005|S2|H10
S02267|NMAD|MW|125.4004|100|Z005|S2|H11
S02268|NMAD|MW|132.2704|100|Z005|S2|H12
S02269|NMAD|MW|139.3236|100|Z005|S2|H13
S02270|NMAD|MW|146.56|100|Z005|S2|H14
S02271|NMAD|MW|153.9796|100|Z005|S2|H15
S02272|NMAD|MW|161.5824|100|Z005|S2|H16
S02273|NMAD|MW|169.3684|100|Z005|S2|H17
S02274|NMAD|MW|177.3376|100|Z005|S2|H18
S02275|NMAD|MW|66.77640000000001|2700|Z006|S2|H01
S02276|NMAD|MW|71.8144|100|Z006|S2|H02
S02277|NMAD|MW|77.0356|100|Z006|S2|H03
S02278|NMAD|MW|82.44|100|Z006|S2|H04
S02279|NMAD|MW|88.0276|100|Z006|S2|H05
S02280|NMAD|MW|93.7984|100|Z006|S2|H06
S02281|NMAD|MW|99.75240000000001|100|Z006|S2|H07
S02282|NMAD|MW|105.8896|100|Z006|S2|H08
S02283|NMAD|MW|112.21000000000001|100|Z006|S2|H09
S02284|NMAD|MW|118.7136|100|Z006|S2|H10
S02285|NMAD|MW|125.4004|100|Z006|S2|H11
S02286|NMAD|MW|132.2704|100|Z006|S2|H12
S02287|NMAD|MW|139.3236|100|Z006|S2|H13
S02288|NMAD|MW|146.56|100|Z006|S2|H14
S02289|NMAD|MW|153.9796|100|Z006|S2|H15
S02290|NMAD|MW|161.5824|100|Z006|S2|H16
S02291|NMAD|MW|169.3684|100|Z006|S2|H17
S02292|NMAD|MW|177.3376|100|Z006|S2|H18
S02293|NMAD|MW|66.77640000000001|2700|Z007|S2|H01
S02294|NMAD|MW|71.8144|100|Z007|S2|H02
S02295|NMAD|MW|77.0356|100|Z007|S2|H03
S02296|NMAD|MW|82.44|100|Z007|S2|H04
S02297|NMAD|MW|88.0276|100|Z007|S2|H05
S02298|NMAD|MW|93.7984|100|Z007|S2|H06
S02299|NMAD|MW|99.75240000000001|100|Z007|S2|H07
S02300|NMAD|MW|105.8896|100|Z007|S2|H08
S02301|NMAD|MW|112.21000000000001|100|Z007|S2|H09
S02302|NMAD|MW|118.7136|100|Z007|S2|H10
S02303|NMAD|MW|125.4004|100|Z007|S2|H11
S02304|NMAD|MW|132.2704|100|Z007|S2|H12
S02305|NMAD|MW|139.3236|100|Z007|S2|H13
S02306|NMAD|MW|146.56|100|Z007|S2|H14
S02307|NMAD|MW|153.9796|100|Z007|S2|H15
S02308|NMAD|MW|161.5824|100|Z007|S2|H16
S02309|NMAD|MW|169.3684|100|Z007|S2|H17
S02310|NMAD|MW|177.3376|100|Z007|S2|H18
S02311|NMAD|MW|66.77640000000001|2700|Z008|S2|H01
S02312|NMAD|MW|71.8144|100|Z008|S2|H02
S02313|NMAD|MW|77.0356|100|Z008|S2|H03
S02314|NMAD|MW|82.44|100|Z008|S2|H04
S02315|NMAD|MW|88.0276|100|Z008|S2|H05
S02316|NMAD|MW|93.7984|100|Z008|S2|H06
S02317|NMAD|MW|99.75240000000001|100|Z008|S2|H07
S02318|NMAD|MW|105.8896|100|Z008|S2|H08
S02319|NMAD|MW|112.21000000000001|100|Z008|S2|H09
S02320|NMAD|MW|118.7136|100|Z008|S2|H10
S02321|NMAD|MW|125.4004|100|Z008|S2|H11
S02322|NMAD|MW|132.2704|100|Z008|S2|H12
S02323|NMAD|MW|139.3236|100|Z008|S2|H13
S02324|NMAD|MW|146.56|100|Z008|S2|H14
S02325|NMAD|MW|153.9796|100|Z008|S2|H15
S02326|NMAD|MW|161.5824|100|Z008|S2|H16
S02327|NMAD|MW|169.3684|100|Z008|S2|H17
S02328|NMAD|MW|177.3376|100|Z008|S2|H18
S02329|NMAD|MW|66.77640000000001|2700|Z009|S2|H01
S02330|NMAD|MW|71.8144|100|Z009|S2|H02
S02331|NMAD|MW|77.0356|100|Z009|S2|H03
S02332|NMAD|MW|82.44|100|Z009|S2|H04
S02333|NMAD|MW|88.0276|100|Z009|S2|H05
S02334|NMAD|MW|93.7984|100|Z009|S2|H06
S02335|NMAD|MW|99.75240000000001|100|Z009|S2|H07
S02336|NMAD|MW|105.8896|100|Z009|S2|H08
S02337|NMAD|MW|112.21000000000001|100|Z009|S2|H09
S02338|NMAD|MW|118.7136|100|Z009|S2|H10
S02339|NMAD|MW|125.4004|100|Z009|S2|H11
S02340|NMAD|MW|132.2704|100|Z009|S2|H12
S02341|NMAD|MW|139.3236|100|Z009|S2|H13
S02342|NMAD|MW|146.56|100|Z009|S2|H14
S02343|NMAD|MW|153.9796|100|Z009|S2|H15
S02344|NMAD|MW|161.5824|100|Z009|S2|H16
S02345|NMAD|MW|169.3684|100|Z009|S2|H17
S02346|NMAD|MW|177.3376|100|Z009|S2|H18
S02347|NMAD|MW|66.77640000000001|2700|Z010|S2|H01
S02348|NMAD|MW|71.8144|100|Z010|S2|H02
S02349|NMAD|MW|77.0356|100|Z010|S2|H03
S02350|NMAD|MW|82.44|100|Z010|S2|H04
S02351|NMAD|MW|88.0276|100|Z010|S2|H05
S02352|NMAD|MW|93.7984|100|Z010|S2|H06
S02353|NMAD|MW|99.75240000000001|100|Z010|S2|H07
S02354|NMAD|MW|105.8896|100|Z010|S2|H08
S02355|NMAD|MW|112.21000000000001|100|Z010|S2|H09
S02356|NMAD|MW|118.7136|100|Z010|S2|H10
S02357|NMAD|MW|125.4004|100|Z010|S2|H11
S02358|NMAD|MW|132.2704|100|Z010|S2|H12
S02359|NMAD|MW|139.3236|100|Z010|S2|H13
S02360|NMAD|MW|146.56|100|Z010|S2|H14
S02361|NMAD|MW|153.9796|100|Z010|S2|H15
S02362|NMAD|MW|161.5824|100|Z010|S2|H16
S02363|NMAD|MW|169.3684|100|Z010|S2|H17
S02364|NMAD|MW|177.3376|100|Z010|S2|H18
S02365|NMAD|MW|66.77640000000001|2700|Z011|S2|H01
S02366|NMAD|MW|71.8144|100|Z011|S2|H02
S02367|NMAD|MW|77.0356|100|Z011|S2|H03
S02368|NMAD|MW|82.44|100|Z011|S2|H04
S02369|NMAD|MW|88.0276|100|Z011|S2|H05
S02370|NMAD|MW|93.7984|100|Z011|S2|H06
S02371|NMAD|MW|99.75240000000001|100|Z011|S2|H07
S02372|NMAD|MW|105.8896|100|Z011|S2|H08
S02373|NMAD|MW|112.21000000000001|100|Z011|S2|H09
S02374|NMAD|MW|118.7136|100|Z011|S2|H10
S02375|NMAD|MW|125.4004|100|Z011|S2|H11
S02376|NMAD|MW|132.2704|100|Z011|S2|H12
S02377|NMAD|MW|139.3236|100|Z011|S2|H13
S02378|NMAD|MW|146.56|100|Z011|S2|H14
S02379|NMAD|MW|153.9796|100|Z011|S2|H15
S02380|NMAD|MW|161.5824|100|Z011|S2|H16
S02381|NMAD|MW|169.3684|100|Z011|S2|H17
S02382|NMAD|MW|177.3376|100|Z011|S2|H18
S02383|NMAD|MW|66.77640000000001|2700|Z012|S2|H01
S02384|NMAD|MW|71.8144|100|Z012|S2|H02
S02385|NMAD|MW|77.0356|100|Z012|S2|H03
S02386|NMAD|MW|82.44|100|Z012|S2|H04
S02387|NMAD|MW|88.0276|100|Z012|S2|H05
S02388|NMAD|MW|93.7984|100|Z012|S2|H06
S02389|NMAD|MW|99.75240000000001|100|Z012|S2|H07
S02390|NMAD|MW|105.8896|100|Z012|S2|H08
S02391|NMAD|MW|112.21000000000001|100|Z012|S2|H09
S02392|NMAD|MW|118.7136|100|Z012|S2|H10
S02393|NMAD|MW|125.4004|100|Z012|S2|H11
S02394|NMAD|MW|132.2704|100|Z012|S2|H12
S02395|NMAD|MW|139.3236|100|Z012|S2|H13
S02396|NMAD|MW|146.56|100|Z012|S2|H14
S02397|NMAD|MW|153.9796|100|Z012|S2|H15
S02398|NMAD|MW|161.5824|100|Z012|S2|H16
S02399|NMAD|MW|169.3684|100|Z012|S2|H17
S02400|NMAD|MW|177.3376|100|Z012|S2|H18
S02401|NMAD|MW|66.77640000000001|2700|Z013|S2|H01
S02402|NMAD|MW|71.8144|100|Z013|S2|H02
S02403|NMAD|MW|77.0356|100|Z013|S2|H03
S02404|NMAD|MW|82.44|100|Z013|S2|H04
S02405|NMAD|MW|88.0276|100|Z013|S2|H05
S02406|NMAD|MW|93.7984|100|Z013|S2|H06
S02407|NMAD|MW|99.75240000000001|100|Z013|S2|H07
S02408|NMAD|MW|105.8896|100|Z013|S2|H08
S02409|NMAD|MW|112.21000000000001|100|Z013|S2|H09
S02410|NMAD|MW|118.7136|100|Z013|S2|H10
S02411|NMAD|MW|125.4004|100|Z013|S2|H11
S02412|NMAD|MW|132.2704|100|Z013|S2|H12
S02413|NMAD|MW|139.3236|100|Z013|S2|H13
S02414|NMAD|MW|146.56|100|Z013|S2|H14
S02415|NMAD|MW|153.9796|100|Z013|S2|H15
S02416|NMAD|MW|161.5824|100|Z013|S2|H16
S02417|NMAD|MW|169.3684|100|Z013|S2|H17
S02418|NMAD|MW|177.3376|100|Z013|S2|H18
S02419|NMAD|MW|66.77640000000001|2700|Z014|S2|H01
S02420|NMAD|MW|71.8144|100|Z014|S2|H02
S02421|NMAD|MW|77.0356|100|Z014|S2|H03
S02422|NMAD|MW|82.44|100|Z014|S2|H04
S02423|NMAD|MW|88.0276|100|Z014|S2|H05
S02424|NMAD|MW|93.7984|100|Z014|S2|H06
S02425|NMAD|MW|99.75240000000001|100|Z014|S2|H07
S02426|NMAD|MW|105.8896|100|Z014|S2|H08
S02427|NMAD|MW|112.21000000000001|100|Z014|S2|H09
S02428|NMAD|MW|118.7136|100|Z014|S2|H10
S02429|NMAD|MW|125.4004|100|Z014|S2|H11
S02430|NMAD|MW|132.2704|100|Z014|S2|H12
S02431|NMAD|MW|139.3236|100|Z014|S2|H13
S02432|NMAD|MW|146.56|100|Z014|S2|H14
S02433|NMAD|MW|153.9796|100|Z014|S2|H15
S02434|NMAD|MW|161.5824|100|Z014|S2|H16
S02435|NMAD|MW|169.3684|100|Z014|S2|H17
S02436|NMAD|MW|177.3376|100|Z014|S2|H18
S02437|NMAD|MW|66.77640000000001|2700|Z015|S2|H01
S02438|NMAD|MW|71.8144|100|Z015|S2|H02
S02439|NMAD|MW|77.0356|100|Z015|S2|H03
S02440|NMAD|MW|82.44|100|Z015|S2|H04
S02441|NMAD|MW|88.0276|100|Z015|S2|H05
S02442|NMAD|MW|93.7984|100|Z015|S2|H06
S02443|NMAD|MW|99.75240000000001|100|Z015|S2|H07
S02444|NMAD|MW|105.8896|100|Z015|S2|H08
S02445|NMAD|MW|112.21000000000001|100|Z015|S2|H09
S02446|NMAD|MW|118.7136|100|Z015|S2|H10
S02447|NMAD|MW|125.4004|100|Z015|S2|H11
S02448|NMAD|MW|132.2704|100|Z015|S2|H12
S02449|NMAD|MW|139.3236|100|Z015|S2|H13
S02450|NMAD|MW|146.56|100|Z015|S2|H14
S02451|NMAD|MW|153.9796|100|Z015|S2|H15
S02452|NMAD|MW|161.5824|100|Z015|S2|H16
S02453|NMAD|MW|169.3684|100|Z015|S2|H17
S02454|NMAD|MW|177.3376|100|Z015|S2|H18
S02455|NMAD|MW|66.77640000000001|2700|Z016|S2|H01
S02456|NMAD|MW|71.8144|100|Z016|S2|H02
S02457|NMAD|MW|77.0356|100|Z016|S2|H03
S02458|NMAD|MW|82.44|100|Z016|S2|H04
S02459|NMAD|MW|88.0276|100|Z016|S2|H05
S02460|NMAD|MW|93.7984|100|Z016|S2|H06
S02461|NMAD|MW|99.75240000000001|100|Z016|S2|H07
S02462|NMAD|MW|105.8896|100|Z016|S2|H08
S02463|NMAD|MW|112.21000000000001|100|Z016|S2|H09
S02464|NMAD|MW|118.7136|100|Z016|S2|H10
S02465|NMAD|MW|125.4004|100|Z016|S2|H11
S02466|NMAD|MW|132.2704|100|Z016|S2|H12
S02467|NMAD|MW|139.3236|100|Z016|S2|H13
S02468|NMAD|MW|146.56|100|Z016|S2|H14
S02469|NMAD|MW|153.9796|100|Z016|S2|H15
S02470|NMAD|MW|161.5824|100|Z016|S2|H16
S02471|NMAD|MW|169.3684|100|Z016|S2|H17
S02472|NMAD|MW|177.3376|100|Z016|S2|H18
S02473|NMAD|MW|66.77640000000001|2700|Z017|S2|H01
S02474|NMAD|MW|71.8144|100|Z017|S2|H02
S02475|NMAD|MW|77.0356|100|Z017|S2|H03
S02476|NMAD|MW|82.44|100|Z017|S2|H04
S02477|NMAD|MW|88.0276|100|Z017|S2|H05
S02478|NMAD|MW|93.7984|100|Z017|S2|H06
S02479|NMAD|MW|99.75240000000001|100|Z017|S2|H07
S02480|NMAD|MW|105.8896|100|Z017|S2|H08
S02481|NMAD|MW|112.21000000000001|100|Z017|S2|H09
S02482|NMAD|MW|118.7136|100|Z017|S2|H10
S02483|NMAD|MW|125.4004|100|Z017|S2|H11
S02484|NMAD|MW|132.2704|100|Z017|S2|H12
S02485|NMAD|MW|139.3236|100|Z017|S2|H13
S02486|NMAD|MW|146.56|100|Z017|S2|H14
S02487|NMAD|MW|153.9796|100|Z017|S2|H15
S02488|NMAD|MW|161.5824|100|Z017|S2|H16
S02489|NMAD|MW|169.3684|100|Z017|S2|H17
S02490|NMAD|MW|177.3376|100|Z017|S2|H18
S02491|NMAD|MW|66.77640000000001|2700|Z018|S2|H01
S02492|NMAD|MW|71.8144|100|Z018|S2|H02
S02493|NMAD|MW|77.0356|100|Z018|S2|H03
S02494|NMAD|MW|82.44|100|Z018|S2|H04
S02495|NMAD|MW|88.0276|100|Z018|S2|H05
S02496|NMAD|MW|93.7984|100|Z018|S2|H06
S02497|NMAD|MW|99.75240000000001|100|Z018|S2|H07
S02498|NMAD|MW|105.8896|100|Z018|S2|H08
S02499|NMAD|MW|112.21000000000001|100|Z018|S2|H09
S02500|NMAD|MW|118.7136|100|Z018|S2|H10
S02501|NMAD|MW|125.4004|100|Z018|S2|H11
S02502|NMAD|MW|132.2704|100|Z018|S2|H12
S02503|NMAD|MW|139.3236|100|Z018|S2|H13
S02504|NMAD|MW|146.56|100|Z018|S2|H14
S02505|NMAD|MW|153.9796|100|Z018|S2|H15
S02506|NMAD|MW|161.5824|100|Z018|S2|H16
S02507|NMAD|MW|169.3684|100|Z018|S2|H17
S02508|NMAD|MW|177.3376|100|Z018|S2|H18
S02509|NMAD|MW|66.77640000000001|2700|Z019|S2|H01
S02510|NMAD|MW|71.8144|100|Z019|S2|H02
S02511|NMAD|MW|77.0356|100|Z019|S2|H03
S02512|NMAD|MW|82.44|100|Z019|S2|H04
S02513|NMAD|MW|88.0276|100|Z019|S2|H05
S02514|NMAD|MW|93.7984|100|Z019|S2|H06
S02515|NMAD|MW|99.75240000000001|100|Z019|S2|H07
S02516|NMAD|MW|105.8896|100|Z019|S2|H08
S02517|NMAD|MW|112.21000000000001|100|Z019|S2|H09
S02518|NMAD|MW|118.7136|100|Z019|S2|H10
S02519|NMAD|MW|125.4004|100|Z019|S2|H11
S02520|NMAD|MW|132.2704|100|Z019|S2|H12
S02521|NMAD|MW|139.3236|100|Z019|S2|H13
S02522|NMAD|MW|146.56|100|Z019|S2|H14
S02523|NMAD|MW|153.9796|100|Z019|S2|H15
S02524|NMAD|MW|161.5824|100|Z019|S2|H16
S02525|NMAD|MW|169.3684|100|Z019|S2|H17
S02526|NMAD|MW|177.3376|100|Z019|S2|H18
S02527|NMAD|MW|66.77640000000001|2700|Z020|S2|H01
S02528|NMAD|MW|71.8144|100|Z020|S2|H02
